area,good,year,expo
Agropecuarios,Productos alimenticios y animales vivos,2006,3636147.136
Agropecuarios,Productos alimenticios y animales vivos,2007,4207719.514
Agropecuarios,Productos alimenticios y animales vivos,2008,4920759.591
Agropecuarios,Productos alimenticios y animales vivos,2009,4598404.209
Agropecuarios,Productos alimenticios y animales vivos,2010,4252563.546
Agropecuarios,Productos alimenticios y animales vivos,2011,5361940.499
Agropecuarios,Productos alimenticios y animales vivos,2012,4891277.069
Agropecuarios,Productos alimenticios y animales vivos,2013,4827988.841
Agropecuarios,Productos alimenticios y animales vivos,2014,5397566.341
Agropecuarios,Bebidas y tabacos,2006,94055.03255
Agropecuarios,Bebidas y tabacos,2007,105375.8716
Agropecuarios,Bebidas y tabacos,2008,94489.95007
Agropecuarios,Bebidas y tabacos,2009,70182.81287
Agropecuarios,Bebidas y tabacos,2010,53309.54448
Agropecuarios,Bebidas y tabacos,2011,64346.03809
Agropecuarios,Bebidas y tabacos,2012,70258.63298
Agropecuarios,Bebidas y tabacos,2013,97455.77463
Agropecuarios,Bebidas y tabacos,2014,83701.373
Agropecuarios,"Materiales crudos no comestibles, excepto los combustibles",2006,1064657.167
Agropecuarios,"Materiales crudos no comestibles, excepto los combustibles",2007,1283596.626
Agropecuarios,"Materiales crudos no comestibles, excepto los combustibles",2008,1293578.955
Agropecuarios,"Materiales crudos no comestibles, excepto los combustibles",2009,1123456.314
Agropecuarios,"Materiales crudos no comestibles, excepto los combustibles",2010,1314866.267
Agropecuarios,"Materiales crudos no comestibles, excepto los combustibles",2011,1342728.443
Agropecuarios,"Materiales crudos no comestibles, excepto los combustibles",2012,1386332.522
Agropecuarios,"Materiales crudos no comestibles, excepto los combustibles",2013,1499388.233
Agropecuarios,"Materiales crudos no comestibles, excepto los combustibles",2014,1532864.596
Agropecuarios,"Aceites, grasas y ceras de origen animal y vegetal",2006,127010.9468
Agropecuarios,"Aceites, grasas y ceras de origen animal y vegetal",2007,261453.7358
Agropecuarios,"Aceites, grasas y ceras de origen animal y vegetal",2008,384381.0134
Agropecuarios,"Aceites, grasas y ceras de origen animal y vegetal",2009,178528.2729
Agropecuarios,"Aceites, grasas y ceras de origen animal y vegetal",2010,135985.6223
Agropecuarios,"Aceites, grasas y ceras de origen animal y vegetal",2011,290296.103
Agropecuarios,"Aceites, grasas y ceras de origen animal y vegetal",2012,280943.1505
Agropecuarios,"Aceites, grasas y ceras de origen animal y vegetal",2013,255500.9881
Agropecuarios,"Aceites, grasas y ceras de origen animal y vegetal",2014,328909.8359
Combustibles,"Abonos en bruto, excepto los del cap’tulo 56, y minerales en bruto (excepto carb—n, petr—leo y piedras preciosas)",2006,21789.67804
Combustibles,"Abonos en bruto, excepto los del cap’tulo 56, y minerales en bruto (excepto carb—n, petr—leo y piedras preciosas)",2007,53446.61981
Combustibles,"Abonos en bruto, excepto los del cap’tulo 56, y minerales en bruto (excepto carb—n, petr—leo y piedras preciosas)",2008,139264.434
Combustibles,"Abonos en bruto, excepto los del cap’tulo 56, y minerales en bruto (excepto carb—n, petr—leo y piedras preciosas)",2009,142936.3856
Combustibles,"Abonos en bruto, excepto los del cap’tulo 56, y minerales en bruto (excepto carb—n, petr—leo y piedras preciosas)",2010,21798.36128
Combustibles,"Abonos en bruto, excepto los del cap’tulo 56, y minerales en bruto (excepto carb—n, petr—leo y piedras preciosas)",2011,37129.62637
Combustibles,"Abonos en bruto, excepto los del cap’tulo 56, y minerales en bruto (excepto carb—n, petr—leo y piedras preciosas)",2012,38661.58112
Combustibles,"Abonos en bruto, excepto los del cap’tulo 56, y minerales en bruto (excepto carb—n, petr—leo y piedras preciosas)",2013,21180.02437,,,,,,,
Combustibles,"Abonos en bruto, excepto los del cap’tulo 56, y minerales en bruto (excepto carb—n, petr—leo y piedras preciosas)",2014,26574.11493,,,,,,,
Combustibles,Menas y desechos de metales,2006,392904.9446
Combustibles,Menas y desechos de metales,2007,464131.0767
Combustibles,Menas y desechos de metales,2008,450789.8494
Combustibles,Menas y desechos de metales,2009,270366.3973
Combustibles,Menas y desechos de metales,2010,454090.5645
Combustibles,Menas y desechos de metales,2011,482662.4945
Combustibles,Menas y desechos de metales,2012,478905.6011
Combustibles,Menas y desechos de metales,2013,463353.043
Combustibles,Menas y desechos de metales,2014,362054.6055
Combustibles,Combustibles y lubricantes minerales y productos conexos,2006,9373867.739
Combustibles,Combustibles y lubricantes minerales y productos conexos,2007,10872100.03
Combustibles,Combustibles y lubricantes minerales y productos conexos,2008,17295009.65
Combustibles,Combustibles y lubricantes minerales y productos conexos,2009,15780856.36
Combustibles,Combustibles y lubricantes minerales y productos conexos,2010,22580972.07
Combustibles,Combustibles y lubricantes minerales y productos conexos,2011,36948624.28
Combustibles,Combustibles y lubricantes minerales y productos conexos,2012,39463150.48
Combustibles,Combustibles y lubricantes minerales y productos conexos,2013,39277978
Combustibles,Combustibles y lubricantes minerales y productos conexos,2014,35931144.12
Combustibles,Metales no ferrosos,2006,166906.6525
Combustibles,Metales no ferrosos,2007,185055.6306
Combustibles,Metales no ferrosos,2008,162000.3983
Combustibles,Metales no ferrosos,2009,101490.3002
Combustibles,Metales no ferrosos,2010,138096.6031
Combustibles,Metales no ferrosos,2011,146429.9913
Combustibles,Metales no ferrosos,2012,135719.8664
Combustibles,Metales no ferrosos,2013,160264.114
Combustibles,Metales no ferrosos,2014,141944.3894
Manufacturas,"Productos qu’micos y productos conexos, n.e.p.",2006,2024381.648
