area,anio,expo
Others,2007,805617.1811
Others,2006,836110.5214
Others,2008,1033917.168
Others,2009,1571003.969
Others,2014,1599747.795
Others,2010,2133235.797
Others,2013,2275104.895
Others,2011,2808146.849
Others,2012,3425991.481
Agricultural,2006,4921870.282
Agricultural,2010,5756724.979
Agricultural,2007,5858145.747
Agricultural,2009,5970571.609
Agricultural,2012,6628811.374
Agricultural,2013,6680333.836
Agricultural,2008,6693209.51
Agricultural,2011,7059311.083
Agricultural,2014,7343042.146
Manufactured,2010,8628418.027
Manufactured,2006,8677525.285
Manufactured,2009,9009101.691
Manufactured,2014,9390816.566
Manufactured,2011,9432634.79
Manufactured,2013,9945447.191
Manufactured,2012,9953925.536
Fuels,2006,9955469.014
Fuels,2007,11574733.36
Manufactured,2007,11752835.71
Manufactured,2008,11851691.06
Fuels,2009,16295649.44
Fuels,2008,18047064.33
Fuels,2010,23194957.6
Fuels,2014,36461717.23
Fuels,2011,37614846.39
Fuels,2013,39922775.18
Fuels,2012,40116437.53
