area,anio,expo
Agropecuario,2006,4921870.282
Agropecuario,2007,5858145.747
Agropecuario,2008,6693209.51
Agropecuario,2009,5970571.609
Agropecuario,2010,5756724.979
Agropecuario,2011,7059311.083
Agropecuario,2012,6628811.374
Agropecuario,2013,6680333.836
Agropecuario,2014,7343042.146
Combustible,2006,9955469.014
Combustible,2007,11574733.36
Combustible,2008,18047064.33
Combustible,2009,16295649.44
Combustible,2010,23194957.6
Combustible,2011,37614846.39
Combustible,2012,40116437.53
Combustible,2013,39922775.18
Combustible,2014,36461717.23
Manufactura,2006,8677525.285
Manufactura,2007,11752835.71
Manufactura,2008,11851691.06
Manufactura,2009,9009101.691
Manufactura,2010,8628418.027
Manufactura,2011,9432634.79
Manufactura,2012,9953925.536
Manufactura,2013,9945447.191
Manufactura,2014,9390816.566
Otros,2006,836110.5214
Otros,2007,805617.1811
Otros,2008,1033917.168
Otros,2009,1571003.969
Otros,2010,2133235.797
Otros,2011,2808146.849
Otros,2012,3425991.481
Otros,2013,2275104.895
Otros,2014,1599747.795
