Month,European Union,Canada,United States,Mexico,Bolivia,Ecuador,Peru,Argentina,Brazil,Paraguay,Uruguay,Venezuela,China,Japan,India,Panama,Other Countries,Total Exports
8-Jan,"415,580","18,523","1,012,122","42,583","8,083","96,257","62,915","14,095","32,553",175,"3,186","436,908","66,290","36,513","6,579","20,941","561,211","2,834,514"
8-Feb,"375,208","28,132","1,029,640","47,526","6,557","90,475","70,246","9,329","35,872",561,878,"491,248","36,795","34,107",670,"21,077","554,731","2,833,053"
8-Mar,"577,785","30,381","1,195,893","47,490","7,503","130,277","71,416","4,873","41,197",469,469,"385,654","18,267","30,425",669,"23,964","422,711","2,989,443"
8-Apr,"456,873","55,127","1,272,817","60,986","10,276","133,946","80,238","8,436","152,780",407,"1,477","472,225","43,324","36,814",884,"25,235","545,966","3,357,810"
8-May,"440,407","42,141","1,298,098","48,046","9,199","120,203","72,274","22,864","41,424",616,681,"478,614","16,658","39,725","1,526","29,365","724,741","3,386,582"
8-Jun,"470,979","19,328","1,422,205","42,345","7,562","129,714","86,189","8,682","58,519",808,632,"425,503","40,199","27,576",621,"26,163","893,954","3,660,980"
8-Jul,"464,483","31,225","1,427,992","85,923","10,631","149,054","87,915","17,131","60,791",500,"1,210","484,608","56,783","34,037",668,"33,577","842,641","3,789,171"
8-Aug,"282,872","20,297","1,416,190","49,798","8,645","122,582","61,051","6,606","48,939",309,"3,172","465,382","25,610","28,413","1,357","23,387","725,332","3,289,941"
8-Sep,"367,368","22,321","1,293,005","39,684","9,258","107,125","64,337","14,976","46,724",349,511,"457,798","21,422","28,828",486,"25,938","631,036","3,131,169"
8-Oct,"340,190","19,434","1,059,355","48,030","9,025","145,015","70,952","13,137","59,697",923,476,"660,177","15,014","24,490",679,"37,595","614,720","3,118,909"
8-Nov,"160,607","9,417","702,897","33,844","4,410","123,482","56,687","4,942","31,210",473,351,"671,940","69,326","14,998",658,"23,321","362,417","2,270,981"
8-Dec,"463,492","30,151","922,514","70,701","10,702","151,431","70,397","7,477","39,236",437,"5,845","661,504","33,264","35,637",888,"28,416","431,240","2,963,330"
9-Jan,"566,622","46,615","712,365","50,832","6,325","105,020","78,241","6,273","45,586",325,840,"416,127","25,284","29,272","1,388","24,417","410,167","2,525,698"
9-Feb,"264,029","36,067","811,059","33,919","6,920","96,003","72,637","4,865","41,015",779,523,"488,809","41,957","33,578","1,231","26,428","380,297","2,340,118"
9-Mar,"490,833","19,625","893,356","54,669","7,045","108,756","57,943","7,399","56,669",348,902,"492,472","36,776","30,376","1,846","28,014","424,301","2,711,332"
9-Apr,"333,446","47,197","781,276","35,189","9,663","96,163","64,162","7,328","30,370",434,969,"415,042","128,978","36,302","4,986","27,442","408,623","2,427,571"
9-May,"406,654","29,668","1,059,509","43,122","5,023","98,951","54,064","9,168","21,673",662,559,"464,183","22,505","17,261","54,159","25,279","430,079","2,742,519"
9-Jun,"377,492","31,786","1,181,298","38,584","6,228","94,771","51,396","8,578","29,340",379,951,"409,098","53,682","28,750","5,915","24,827","395,009","2,738,083"
9-Jul,"432,451","25,299","1,147,125","41,684","5,733","97,200","62,262","11,676","40,134",889,867,"344,828","107,625","26,464","76,049","26,274","452,043","2,898,600"
9-Aug,"234,564","30,379","1,184,043","44,180","7,040","82,958","53,500","8,693","49,630",434,516,"252,843","75,093","23,228","68,537","23,918","533,914","2,673,470"
9-Sep,"401,959","23,674","1,247,166","37,265","11,533","113,846","71,156","9,160","56,182",584,799,"231,033","31,205","27,665","10,835","28,665","493,257","2,795,983"
9-Oct,"390,489","36,267","1,309,175","43,394","10,414","112,760","78,350","13,108","62,300",548,"1,667","195,471","114,894","27,317","67,334","23,535","461,662","2,948,687"
9-Nov,"402,713","26,845","1,135,993","49,163","6,870","113,519","63,809","5,233","47,357",574,"1,391","191,745","186,136","24,634","17,524","22,157","565,631","2,861,294"
