area,bien,anio,expo
Agriculturals,Food and live animals,2006,3636147.136
Agriculturals,Food and live animals,2007,4207719.514
Agriculturals,Food and live animals,2008,4920759.591
Agriculturals,Food and live animals,2009,4598404.209
Agriculturals,Food and live animals,2010,4252563.546
Agriculturals,Food and live animals,2011,5361940.499
Agriculturals,Food and live animals,2012,4891277.069
Agriculturals,Food and live animals,2013,4827988.841
Agriculturals,Food and live animals,2014,5397566.341
Agriculturals,Beverages and tabacco,2006,94055.03255
Agriculturals,Beverages and tabacco,2007,105375.8716
Agriculturals,Beverages and tabacco,2008,94489.95007
Agriculturals,Beverages and tabacco,2009,70182.81287
Agriculturals,Beverages and tabacco,2010,53309.54448
Agriculturals,Beverages and tabacco,2011,64346.03809
Agriculturals,Beverages and tabacco,2012,70258.63298
Agriculturals,Beverages and tabacco,2013,97455.77463
Agriculturals,Beverages and tabacco,2014,83701.373
Agriculturals,Inedible raw material except fuels),2006,1064657.167
Agriculturals,Inedible raw material except fuels),2007,1283596.626
Agriculturals,Inedible raw material except fuels),2008,1293578.955
Agriculturals,Inedible raw material except fuels),2009,1123456.314
Agriculturals,Inedible raw material except fuels),2010,1314866.267
Agriculturals,Inedible raw material except fuels),2011,1342728.443
Agriculturals,Inedible raw material except fuels),2012,1386332.522
Agriculturals,Inedible raw material except fuels),2013,1499388.233
Agriculturals,Inedible raw material except fuels),2014,1532864.596
Agriculturals,"Oils, fats and waxes",2006,127010.9468
Agriculturals,"Oils, fats and waxes",2007,261453.7358
Agriculturals,"Oils, fats and waxes",2008,384381.0134
Agriculturals,"Oils, fats and waxes",2009,178528.2729
Agriculturals,"Oils, fats and waxes",2010,135985.6223
Agriculturals,"Oils, fats and waxes",2011,290296.103
Agriculturals,"Oils, fats and waxes",2012,280943.1505
Agriculturals,"Oils, fats and waxes",2013,255500.9881
Agriculturals,"Oils, fats and waxes",2014,328909.8359
Fuels,Raw fertilizers and crude minerals,2006,21789.67804
Fuels,Raw fertilizers and crude minerals,2007,53446.61981
Fuels,Raw fertilizers and crude minerals,2008,139264.434
Fuels,Raw fertilizers and crude minerals,2009,142936.3856
Fuels,Raw fertilizers and crude minerals,2010,21798.36128
Fuels,Raw fertilizers and crude minerals,2011,37129.62637
Fuels,Raw fertilizers and crude minerals,2012,38661.58112
Fuels,Raw fertilizers and crude minerals,2013,21180.02437
Fuels,Raw fertilizers and crude minerals,2014,26574.11493
Fuels,Ores and metal scrap,2006,392904.9446
Fuels,Ores and metal scrap,2007,464131.0767
Fuels,Ores and metal scrap,2008,450789.8494
Fuels,Ores and metal scrap,2009,270366.3973
Fuels,Ores and metal scrap,2010,454090.5645
Fuels,Ores and metal scrap,2011,482662.4945
Fuels,Ores and metal scrap,2012,478905.6011
Fuels,Ores and metal scrap,2013,463353.043
Fuels,Ores and metal scrap,2014,362054.6055
Fuels,"Mineral fuels, lubricants and related product",2006,9373867.739
Fuels,"Mineral fuels, lubricants and related product",2007,10872100.03
Fuels,"Mineral fuels, lubricants and related product",2008,17295009.65
Fuels,"Mineral fuels, lubricants and related product",2009,15780856.36
Fuels,"Mineral fuels, lubricants and related product",2010,22580972.07
Fuels,"Mineral fuels, lubricants and related product",2011,36948624.28
Fuels,"Mineral fuels, lubricants and related product",2012,39463150.48
Fuels,"Mineral fuels, lubricants and related product",2013,39277978
Fuels,"Mineral fuels, lubricants and related product",2014,35931144.12
Fuels,Non ferrous metals,2006,166906.6525
Fuels,Non ferrous metals,2007,185055.6306
Fuels,Non ferrous metals,2008,162000.3983
Fuels,Non ferrous metals,2009,101490.3002
Fuels,Non ferrous metals,2010,138096.6031
Fuels,Non ferrous metals,2011,146429.9913
Fuels,Non ferrous metals,2012,135719.8664
Fuels,Non ferrous metals,2013,160264.114
Fuels,Non ferrous metals,2014,141944.3894
Manufactures,Chemical products and related products,2006,2024381.648
Manufactures,Chemical products and related products,2007,2413256.519
Manufactures,Chemical products and related products,2008,2951475.88
Manufactures,Chemical products and related products,2009,2715936.711
Manufactures,Chemical products and related products,2010,2846831.785
Manufactures,Chemical products and related products,2011,3312122.957
Manufactures,Chemical products and related products,2012,3428690.213
Manufactures,Chemical products and related products,2013,3733191.805
Manufactures,Chemical products and related products,2014,3684127.241
Manufactures,Manufactured goods classified by material,2006,3317622.241
Manufactures,Manufactured goods classified by material,2007,4563448.688
Manufactures,Manufactured goods classified by material,2008,4487721.973
Manufactures,Manufactured goods classified by material,2009,3339748.388
Manufactures,Manufactured goods classified by material,2010,3199113.064
Manufactures,Manufactured goods classified by material,2011,3325631.217
Manufactures,Manufactured goods classified by material,2012,3412985.509
Manufactures,Manufactured goods classified by material,2013,2888121.786
Manufactures,Manufactured goods classified by material,2014,2820901.223
Manufactures,Machinery and transport equipment,2006,1519779.605
Manufactures,Machinery and transport equipment,2007,2208386.216
Manufactures,Machinery and transport equipment,2008,1884481.633
Manufactures,Machinery and transport equipment,2009,1421518.112
Manufactures,Machinery and transport equipment,2010,1143394.926
Manufactures,Machinery and transport equipment,2011,1216560.618
Manufactures,Machinery and transport equipment,2012,1492744.35
Manufactures,Machinery and transport equipment,2013,1834656.594
Manufactures,Machinery and transport equipment,2014,1529915.308
Manufactures,Miscellaneous manufactured articles,2006,1815741.792
Manufactures,Miscellaneous manufactured articles,2007,2567744.288
Manufactures,Miscellaneous manufactured articles,2008,2528011.573
Manufactures,Miscellaneous manufactured articles,2009,1531898.48
Manufactures,Miscellaneous manufactured articles,2010,1439078.252
Manufactures,Miscellaneous manufactured articles,2011,1578319.997
Manufactures,Miscellaneous manufactured articles,2012,1619505.464
Manufactures,Miscellaneous manufactured articles,2013,1489477.006
Manufactures,Miscellaneous manufactured articles,2014,1355872.794
Others,Other commodities,2006,833699.0476
Others,Other commodities,2007,804902.0083
Others,Other commodities,2008,1032888.073
Others,Other commodities,2009,1567581.026
Others,Other commodities,2010,2129205.204
Others,Other commodities,2011,2796212.148
Others,Other commodities,2012,3413014.269
Others,Other commodities,2013,2265213.388
Others,Other commodities,2014,1596065.113
Others,Weapons and ammunition,2006,2411.47373
Others,Weapons and ammunition,2007,715.17276
Others,Weapons and ammunition,2008,1029.09509
Others,Weapons and ammunition,2009,3422.94302
Others,Weapons and ammunition,2010,4030.59283
Others,Weapons and ammunition,2011,11934.70059
Others,Weapons and ammunition,2012,12977.21185
